,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
288,234,Trey Jemison,C,24,MEM,5,99,10.2,.517,.000,.238,11.7,9.3,10.6,5.7,1.5,5.6,14.7,11.8,0.0,0.1,0.2,.075,-6.1,-0.5,-6.6,-0.1
289,235,Ty Jerome,SG,26,CLE,2,15,7.6,.500,.250,.000,7.5,0.0,3.7,26.5,0.0,0.0,20.0,14.4,0.0,0.0,0.0,.054,-4.3,-0.5,-4.8,0.0
290,236,Isaiah Joe,SG,24,OKC,49,915,13.6,.637,.744,.123,2.6,11.3,7.1,7.9,1.6,1.3,7.9,16.7,1.2,1.0,2.3,.118,1.4,-0.2,1.2,0.7
291,237,Cameron Johnson,PF,27,BRK,40,1138,14.7,.584,.549,.138,4.0,14.2,8.9,13.4,1.4,0.8,7.6,19.4,1.5,0.9,2.4,.100,1.2,-0.6,0.6,0.7
292,238,Jalen Johnson,SF,22,ATL,39,1321,16.0,.601,.283,.222,3.8,24.1,13.6,14.1,1.8,2.2,12.1,17.9,1.6,1.1,2.7,.099,0.2,0.9,1.1,1.0
293,239,James Johnson,PF,36,IND,5,24,11.6,.400,.200,.000,4.8,14.4,9.6,23.3,7.8,0.0,28.6,12.2,0.0,0.0,0.0,.052,-5.1,4.6,-0.5,0.0
294,240,Keldon Johnson,SF,24,SAS,49,1478,14.4,.557,.391,.259,5.1,15.9,10.4,15.0,1.3,0.9,9.7,22.8,0.8,0.9,1.7,.055,-0.5,-1.6,-2.0,0.0
296,241,Keon Johnson,SG,21,BRK,2,35,13.4,.588,.455,.364,6.0,3.2,4.6,3.8,4.2,2.5,13.6,18.0,0.0,0.0,0.1,.091,-1.5,0.8,-0.7,0.0
297,242,Keyontae Johnson,SF,23,OKC,7,57,0.7,.375,.167,.000,6.2,5.7,5.9,8.3,0.0,0.0,25.0,12.2,-0.1,0.0,-0.1,-0.076,-7.7,-3.1,-10.8,-0.1
298,243,Nikola Jokić,C,28,DEN,51,1723,31.7,.653,.165,.327,10.2,29.8,20.1,43.7,1.8,2.4,12.9,29.6,7.8,2.9,10.8,.300,9.7,4.3,14.0,7.0
299,244,Colby Jones,SG,21,SAC,17,121,6.3,.384,.283,.109,9.1,14.3,11.7,10.8,1.6,0.7,9.4,18.7,-0.2,0.1,-0.1,-0.038,-6.5,-1.2,-7.7,-0.2
